|0000|013|0|01102019|31102019|DICARRO BATERIAS E PNEUS LTDA|05656386000108||MA|122067665|2111300|||A|1|
|0001|0|
|0005|DICARRO BATERIAS SAO LUIS|65054140|RUA SAO FRANCISCO BL 1 LOJA 12|418||FORQUILHA|9832212005|||
|0100|ESCON ESCRITORIO DE CONTABILIDADE EIRELI-EPP|||10540558000113|64014073|RUA SANTA LUZIA|3040||ILHOTAS|8633037105|||2211001|
|0150|4761|JANIO J DE S SANTOS-ME|1058|14737190000139||123738768|2107357||RUA DO COMERCIO|21||CENTRO|
|0150|4763|ELIUDE DA SILVA RODRIGUES|1058|13509767000192||123563429|2104305||AV TEOLIFO VIANA|858||MONTE SIAO|
|0150|4767|JOEL RODRIGUES CARNEIRO|1058|26784838000107||125119089|2101103||AV SENADOR JOSE SARNEY|0||CENTRO|
|0150|4779|JOSE RIBEIRO FILHO-ME|1058|13702353000185||123588073|2104008||RUA TRES DE AGOSTO|428||CENTRO|
|0150|4814|ODEVALDO COSTA RIBEIRO|1058|17920242000104||124070728|2100436||AV RODOVIARIA|186||CENTRO|
|0150|4823|JULIA M ALVES|1058|14226009000120||123667402|2108454||RUA ELETRO NORTE|25||FILIPINHO|
|0150|4840|M I DE MORAES|1058|17138724000107||123959012|2107357||RUA DO COMERCIO|585||CENTRO|
|0150|4856|EDIVAN P DE SOUSA|1058|08298885000169||122304195|2112233||RUA DA SALVACAO|653||CENTRO|
|0150|4923|F DE A M BARROS|1058|08599123000100||122336852|2108603||RUA TARQUINIO LOPES|139||CENTRO|
|0150|4930|L F C FIGUEIRA JUNIOR MOTOS-ME|1058|20266579000146||124375880|2111300||RUA QUARENTA E OITO|2||AREINHA|
|0150|4937|F S MAGALHAES-ME|1058|04647421000160||121842975|2111300||RUA CARMELO|63||PIRAPORA|
|0150|4971|E N LUZ|1058|20218259000110||124369502|2111508||ROD BR 135 KM 180|26||BOM JESUS|
|0150|4974|J. ALVES SERRA|1058|17529754000136||124021956|2107456||RUA OSEAS DA MOTA CUTRIM|125||CENTRO|
|0150|5026|DEMERSON VERAS BOTELHO|1058|17710374000101||124044751|2111300||RUA DOZE QD 24|17||VILA EMBRATEL|
|0150|5033|CREUSA HELENA SILVA ROCHA|1058|18476511000140||124141226|2109809||AV DUQUE DE CAXIAS|100||CENTRO|
|0150|5043|NATALIA MESQUITA SOUSA|1058|25966394000168||125028504|2109908||RUA 21 DE AGOSTO|170||CENTRO|
|0150|5163|JOAO SANTOS SILVA COMERCIO|1058|29404561000138||125505019|2102705||RUA BENEDITO LOPES|28||CENTRO|
|0150|5180|TIAGO P SOUZA-ME|1058|10569399000180||123107342|2109601||AV TIRADENTES|2870||CENTRO|
|0150|5182|SILAS PEREIRA DE SOUSA JUNIOR ME|1058|14725129000171||123736749|2108801||RUA SÃO JOSÉ|158|A|CENTRO|
|0150|5205|J DE MELO VASCONCELOS|1058|18814280000137||124184855|2103208||RUA SAO JOSE DE RIBAMAR|215||CENTRO|
|0150|5207|CHRISTIANE DE MARIA FERNANDES CABRAL|1058|20471128000140||124402100|2112407||RUA GODOFREDO VIANA|207||CENTRO|
|0150|5296|J H S MENDES|1058|10353800000140||123072778|2106409||RUA COMADANTE R ARCHER|731||CENTRO|
|0150|5299|DIONIZIO GOMES DE CARVALHO|1058|13344035000190||123543754|2110203||RUA DO SOL|606||CENTRO|
|0150|5323|LUCAS RAFAEL MEIRELES GOMES|1058|22032272000106||124597246|2107456||MA 014|0||CENTRO|
|0150|5343|RAQUEL DE JESUS FREITAS LOPES-ME|1058|19919707000124||124328911|2103703||RUA BERNARDO VIEIRA|1500||CENTRO|
|0150|5423|OSVALINDO LOPES MONTEIRO|1058|17937703000143||124072640|2103703||AV CASTELO BRANCO|75||CENTRO|
|0150|5424|GLACIVAL COSTA NEVES|1058|17654867000163||124037712|2103703||AV GOVERNADOR ANTONIO DINO|47||AREIA BRANCA|
|0150|5436|R R CARVALHO PEÇAS|1058|18665226000177||124165320|2111409||TRAV SAO BENEDITO|0||CENTRO|
|0150|5455|ZECA PECAS E SERVICOS MECANICOS LTDA|1058|17992335000136||124079725|2111300||RUA INDEPENDENCIA|86||VILA CASCAVEL|
|0150|5465|MARCELO JOSE SOARES LINDOSO|1058|31159763000103||125728395|2107456||RODOVIA MA|14||CENTRO|
|0150|5495|DIEGO M. LEITE - ME|1058|14639212000128||123724287|2108207||RUA MANOEL TRINDADE|579||BOIADA|
|0150|5509|J ABREU MACHADO - ME|1058|18009608000142||124081622|2109908||RUA 21 DE AGOSTO|260||CENTRO|
|0150|5580|SD COMERCIAL DE BATERIAS AUTOMOTIVAS LTDA|1058|12554612000105||256205175|4200408||RODOVIA SC 150|0||INTERIOR|
|0150|5589|F A ARAUJO DE SOUSA|1058|63573695000110||121201597|2111508||AV PEQUI|327||CENTRO|
|0150|5601|EDIVALDO AMORIM PEDROSO JUNIOR|1058|20686936000125||124426573|2104305||RUA DOUTORA  ANTONIO DINO|217||ALEGRE|
|0150|5609|ANTONIO GEOVANIO LOPES MACHADO|1058|19150124000181||124230733|2102200||RUA SANTA HELENA|99||BACURI|
|0150|5614|E PEREIRA BARROS ME|1058|17120113000204||124736785|2111300||AVENIDA GUAJAJARAS|3||JARDIM SAO CRISTOVAO|
|0150|5622|PNEU CENTER LTDA - ME|1058|15723093000150||123865026|2111300||RUA SANTA FLORENCA|03||JARDIM SAO CRISTOVAO|
|0150|5631|RAIMUNDO BASTOS DE SOUSA|1058||00825366356||2111300||AVENIDA GUAJAJARAS|10||TIRIRICAL|
|0150|5632|L R DE SOUSA COMERCIO|1058|14492796000151||123703379|2111508||AV ANTONIO PEREIRA|1988|BR 135|CENTRO|
|0150|5647|I DA S  SANTOS PECAS -ME|1058|03850194000102||121762645|2111300||AV 4|120||JARDIM AMERICA|
|0150|5678|CENTER CAR EIRELI|1058|14522082000149||123708060|2112803||RD MA 014 KM 38|455||SUBESTACAO|
|0150|5686|CARLOS CELSO DE MESQUITA SOUSA|1058|19637262000190||124296130|2110401||RUA EVARISTO|87||CENTRO|
